name;description;long;lat;idquartier;largeur;longueur;adresse
kml_1;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>480</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Président John Fitzgerald Kennedy (cours)</td> </tr><tr bgcolor=""#E3E3F3""> <th>";-1.70581522003501;48.1210985142887;;3;5;au n° 5  -  Président John Fitzgerald Kennedy (cours)
kml_10;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>432</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Olympe de Gouges (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>de";-1.70146634168422;48.129426548651;;3.3;4.5;devant le N° 7  -  Olympe de Gouges (rue)
kml_100;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>392</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René Pléven (square)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>face";-1.6379517827468;48.1038523741416;;3.3;4.5;face au n° 20  -  René Pléven (square)
kml_101;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>253</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René-Yves Creston (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>s";-1.63961464756735;48.0911985304077;;3;3.5;sur parking face au n° 38  -  René-Yves Creston (rue)
kml_102;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>250</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René-Yves Creston (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>f";-1.6415793269432;48.0903537421733;;2.5;3;face groupe scolaie  -  René-Yves Creston (rue)
kml_103;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>251</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René-Yves Creston (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>p";-1.64180392623421;48.0905842050037;;3.5;3.5;pk face au n° 11  -  René-Yves Creston (rue)
kml_104;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>729</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René-Yves Creston (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>p";-1.64145228330543;48.0905218766574;;3;3.5;pk près groupe scolaire  -  René-Yves Creston (rue)
kml_105;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>249</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>René-Yves Creston (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>p";-1.64184799378945;48.0899941899278;;3;3.5;pk face au n° 5  -  René-Yves Creston (rue)
kml_106;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>99</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Pierre Proudhon (allée)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</th> <td>pk";-1.71151751530618;48.1021149848516;;3.5;4.5;pk derrière le n° 171 rue Eugène Pottier  -  Pierre Proudhon (allée)
kml_107;"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>OBJECTID</th> <td>101</td> </tr><tr bgcolor=""""> <th>NOM_VOIE</th> <td>Paul Lerebourg Pigeonnière (rue)</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADRESSE</";-1.70763272295813;48.1007999270887;;3.3;4.3;au droit du n° 2  -  Paul Lerebourg Pigeonnière (rue)
